"book","label","Factor1","Factor2","Factor3","variable","clust","poet"
"(guns & butter)","1",0.477831950766021,0.41748573759783,0.667447793106195,"Consistent","4","Montana Ray"
"77 Dream Songs","2",0.18544512704094,0.858989082088686,0.550407776863469,"Consistent","5","John Berryman"
"77 Dream Songs","3",0.267336424581399,0.895506776757769,0.668681448006519,"Consistent","5","John Berryman"
"A Cooney Island of the Mind","4",0.661676223296422,0.201494357667425,0.395884371453663,"Consistent","1","Lawrence Ferlinghetti"
"A History of Broken Love Things","5",0.571036187858949,0.293447946428203,0.623604503760035,"Consistent","3","SB Stokes"
"A New Language for Falling Out of Love","6",0.58664919701265,0.150962829384214,0.511786730781248,"Consistent","4","Meghan Privitello"
"A Several World","7",0.556125991280422,0.154745507870344,0.924501100900827,"Consistent","4","Brian Blanchfield"
"Accepting the Disaster","8",0.869939837085606,0.64790094167416,0.273841638156003,"Consistent","2","Josh Mehigan"
"Accepting the Disaster","9",0.52297925770064,0.893077920568625,0.314292798905865,"Consistent","2","Josh Mehigan"
"Aimless Love","10",0.573081155426936,0.707471271734622,0.287164713406408,"Consistent","3","Billy Collins"
"Alphabet","11",0.566792492849807,0.383150465637551,0.746280088235241,"Consistent","4","Inger Christensen trans. Susanna Nied"
"Ariel","12",0.674082718388042,0.48747358093172,0.371569004120858,"Consistent","2","Sylvia Plath"
"As Long As Trees Last","13",0.349938989917309,0.274110303662979,0.149719448027544,"Consistent","3","Hoa Nguyen"
"At Night","14",0.331042238111959,0.229302330458207,0.175887675181276,"Consistent","3","Lisa Ciccarello"
"At Night","15",0.400970556866513,0.221760426630858,0.196429243261458,"Consistent","3","Lisa Ciccarello"
"Averno","16",0.877671589834148,0.406074210995971,0.696041297884527,"Consistent","1","Louise Gluck"
"Averno","17",0.866243537225969,0.313295384297959,0.357214989562161,"Consistent","1","Louise Gluck"
"Averno","18",0.966520464256176,0.193348432524083,0.474136621051419,"Consistent","1","Louise Gluck"
"Ban en Banlieu","19",0.585441649304542,0.278874892956029,0.803699902775683,"Consistent","4","Bhanu Kapil"
"Beast Feast","20",0.127342919702388,0.683496136925833,0.739096309639649,"Not consistent","5","Cody-Rose Clevidence"
"Birds With Teeth","21",0.314449017172762,0.168885988897991,0.673533560813287,"Not consistent","5","Kat Finch"
"Black Aperture","22",0.565719996790622,0.367139953245726,0.298596844791427,"Consistent","3","Matt Rasmussen"
"Blessing the Boats","23",0.668928925241002,0.129254544110258,0.23366733903787,"Consistent","3","Lucille Clifton"
"Bluets","24",0.882553120473485,0.196536863084073,0.35815718710334,"Consistent","1","Maggie Nelson"
"Bluets","25",0.943909069893563,0.150872704575168,0.406037896589061,"Consistent","1","Maggie Nelson"
"Bluets","26",0.929291546166024,0.158405425434381,0.351426754017504,"Consistent","1","Maggie Nelson"
"Burn This House","27",0.619504974106484,0.412433847824043,0.628046198044798,"Consistent","2","Kelly Davio"
"Call Me Ishmael Tonight","28",0.447512580034687,0.943690256563905,0.461727282310687,"Consistent","2","Agha Shahid Ali"
"Capacity","29",0.697330797148403,0.463051014570796,0.951566036945511,"Consistent","1","James McMichael"
"Cathedrals and Highrise","30",0.912154441658215,0.832861313365785,0.409136501549124,"Consistent","2","David D. Horowitz"
"Coeur de Lion","31",0.986472734708972,0.161439225726573,0.574723380141417,"Consistent","1","Ariana Reines"
"Collected Poems","32",0.556145745284124,1,0.432833933278003,"Consistent","2","Emily Dickinson"
"Conspiracy of Beauty","33",0.580453050742859,0.211773849464673,0.620118116647683,"Consistent","4","Christina Collins"
"Dark Green","34",0.565856618272269,0.368192413320234,0.464575959436828,"Consistent","3","Emily Hunt"
"Dirty Bomb","35",0.787716083707485,0.637741122641055,0.443844120599293,"Not consistent","2","Mark Neely"
"Don't Let Me Be Lonely","36",1,0.26829283165554,0.594603532941041,"Consistent","1","Claudia Rankine"
"Earthly Use","37",0.687327472244153,0.928400567301712,0.568471960295203,"Consistent","2","Kate Bernadette Benedict"
"Elegy","38",0.756270040373612,0.142252213254893,0.834588494838251,"Consistent","1","Larry Levis"
"Eunoia","39",0.249698709512588,0.913399899372631,0.506532913622318,"Consistent","5","Christian Bok"
"Eunoia","40",0.276309106048741,0.587444265287971,0.466830253114703,"Consistent","5","Christian Bok"
"Even Though I Don't Miss You","41",0.574080517238122,0.182560508276819,0.720169872493338,"Consistent","4","Chelsea Martin"
"Eyelid Lick","42",0.363086276382158,0.125382084161559,0.756081198622161,"Not consistent","4","Donald Dunbar"
"Eyelid Lick","43",0.464270797701801,0.144520354398803,0.541034563173848,"Not consistent","4","Donald Dunbar"
"Eyes Like Broken Windows","44",0.910931412484996,0.239170404109023,0.734995784822817,"Consistent","1","Seth Michelson"
"F","45",0.58679018621712,0.234191978946067,0.563720210512159,"Consistent","4","Franz Wright"
"Fanny Says","46",0.920461953856212,0.213533686116069,0.626068373054719,"Consistent","1","Nickole Brown"
"Fantasy","47",0.361363474200396,0.129494628626369,0.673160210092745,"Consistent","4","Ben Fama"
"Father Figures","48",0.717692133052404,0.249781287257741,0.548489120602913,"Consistent","1","Jay Sizemore"
"Feelings Above Sea Level","49",0.545136180028786,0.202497521513095,0.747190921160777,"Consistent","4","Shang Qin"
"Fiddle is Flood","50",0.404240904657702,0.450089875046257,0.564112095583329,"Consistent","4","Lauren Gordon"
"Flash Cards","51",0.479075935109513,0.23056334211304,0.283581553278743,"Consistent","3","Yu Jian"
"Hapax","52",0.637896883560424,0.934587160601069,0.598693562132014,"Consistent","2","A.E. Stallings"
"Herculaneum's Fortune","53",0.374990217939004,0.286175131303667,0.172433931872485,"Consistent","3","Phylinda Moore"
"Hermead Vol 1","54",0.847410915585935,0.889154585331743,0.71000675528813,"Consistent","2","Surazeus"
"Howl and Other Poems","55",0.862535682547035,0.206145845068531,0.748574527747539,"Not consistent","1","Allen Ginsberg"
"i'm alive / it hurts / i love it","56",0.819524879076662,0.184239291333806,0.412527868811468,"Consistent","1","Joshua Jennifer Espinoza"
"Ignition: Poem Starters, Septolets, Statements and Double Dog Dares","57",0.556308657997952,0.193189311307693,0.205193171503655,"Not consistent","3","Christopher J. Jarmick"
"In The Next Galaxy","58",0.849153644642607,0.721139848677074,0.464826054594319,"Consistent","2","Ruth Stone"
"Incarnadine","59",0.812853499015086,0.248543563055386,0.547463364601468,"Consistent","1","Mary Szybist"
"Invasions","60",0.898079700980139,0.856781556652985,0.735662672370568,"Consistent","2","Adam Kirsch"
"Kill Manual","61",0.441720156130712,0.126053047791167,0.849774165864665,"Not consistent","4","Cassandra Troyan"
"Leaves of Grass","62",0.791786778275989,0.172216466721724,0.775146445379288,"Consistent","1","Walt Whitman"
"Letters From Robots","63",0.927418249958622,0.104242520292478,0.332412715038377,"Consistent","1","Diana Salier"
"Letters to Wendy's","64",0.86353399392504,0.302960970901777,0.648795265443951,"Consistent","1","Joe Wenderoth"
"Life on Mars","65",0.640695342335339,0.355444271871769,0.300527435218188,"Consistent","3","Tracy K. Smith"
"loose strife","66",0.717009145778723,0.244771287282455,0.747623916281168,"Not consistent","1","Quan Barry"
"Maximum Gaga","67",0.26136076967228,0.18116188225905,0.828092247200488,"Consistent","5","Lara Glenum"
"Meditations in an Emergency","68",0.361075721811656,0.101326703710766,0.622470456787643,"Not consistent","4","Frank O'Hara"
"Memling's Veil","69",0.4928502477641,0.230035832043286,0.610995583143085,"Consistent","4","Mary Ruefle"
"Metamericana","70",0.83310932828248,0.163286472125626,0.963981083190318,"Not consistent","1","Seth Abramson"
"Mid Evil","71",0.860573611926895,0.78268587851884,0.487624723908026,"Consistent","2","Maryann Corbett"
"Miss America","72",0.215851046418161,0.27817675906339,0.531603545874802,"Consistent","5","Catherine Wagner"
"Moth Moon","73",0.438500695508564,0.264813703790186,0.455168714729216,"Consistent","3","Matt Jasper"
"My Life In Heaven","74",0.491183226214966,0.254512940870701,0.358444497662393,"Consistent","3","Mary Ann Samyn"
"Necessary Turns","75",0.576290702649753,0.251045395076443,0.466993222921473,"Consistent","3","Liz Abrams-Morley"
"Negro League Baseball","76",0.347949613656425,0.320520335358941,0.77378428039569,"Consistent","4","Harmony Holiday"
"Of Being Numerous","77",0.696919798979885,0.280741176402231,0.353989481121161,"Consistent","3","George Oppen"
"Ordinary Sun","78",0.439499866702716,0.128161645617224,0.670749056685595,"Consistent","4","Matthew Henriksen"
"Other People's Comfort Keeps Me Up At Night","79",0.460803977525076,0.239764235726383,0.342627958587051,"Consistent","3","Morgan Parker"
"overtakelessness","80",0.579880221972886,0.320423435364622,0.770725658748875,"Consistent","4","Dan Beachy-Quick"
"Paper Doll Fetus","81",0.854959791425213,0.321602174771199,0.695334429822074,"Consistent","1","Cynthia Marie Hoffman"
"Partyknife","83",0.455384791104298,0.150787873775212,0.536370382480946,"Consistent","4","Dan Magers"
"Partyknife","82",0.580134270506965,0.0720305148921556,0.410259699763213,"Consistent","3","Dan Magers"
"Poems 7","84",0.841003093730442,0.246712307936372,0.714454216742636,"Consistent","1","Alan Dugan"
"Poems Descriptive of Rural Life and Scenery","85",0.209179968184626,0.2887614202235,0.838435711256665,"Consistent","5","Tim Earley"
"poetic. cerul din delft si alte corpuri romanesti","86",0.576862497939215,0.698800987717666,0.614179602244882,"Consistent","2","Razvan Tupa"
"POP CORPSE!","87",0.501464512117642,0.343831393742903,0.616516491684285,"Consistent","4","Lara Glenum"
"Praise","88",0.901186460179424,0.244421199658634,0.576345826235099,"Consistent","1","Robert Hass"
"Remainland","89",0.412541428752911,0.217794896672401,0.515371846470541,"Consistent","4","Aase Berg"
"Render: An Apocalypse","90",0.669154819648925,0.332377718123989,0.23039868785791,"Consistent","3","Rebecca Gayle Howell"
