"book","project","stretch","prosodic","momentum","sentencelength","prosaic","notissue","bigabstraction","memorize","pagecanvas","communicationvolume","contentvolume","shock","humor","sound","argument","structural","otherattributes","loose","historical","associative","variedregister","syntax","breakrules","mainpoint","meta","scan","abstractthinking","explanation","realworld","singleself","authorflag","flag0","flag1","flag2","consistent","shortline","mediumline","longline","asserts","absurd","logical","low","middle","high","coherentlinear","coherentjumping","absurdsurreal","causeeffectyes","causeeffectno"
"(guns & butter)",1,1,3,5,2,1,1,1,1,1,5,5,1,1,2,1,1,2,1,1,4,4,4,4,0,0,0,3,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"248 mgs., a panic picnic",1,1,5,3,1,1,1,0,0,0,2,5,1,1,5,0,0,5,1,0,5,1,5,5,0,0,0,3,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"77 Dream Songs",1,0,5,3,2,2,1,0,1,0,3,4,1,1,4,1,0,4,2,0,4,4,5,4,1,0,1,3,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1
"77 Dream Songs",0,0,5,2,2,1,1,1,1,0,4,4,1,1,5,1,0,4,1,0,5,5,5,5,1,0,1,3,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
"A Brief History of Time",0,0,3,4,5,3,0,1,0,0,3,4,1,0,3,1,1,4,3,1,4,4,4,4,1,0,1,3,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"A Cooney Island of the Mind",0,1,3,5,4,4,0,1,1,1,4,5,1,1,3,1,0,1,5,1,3,4,2,2,0,0,0,4,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
"A Dirt Road Hangs From the Sky",1,0,2,5,3,3,0,0,1,0,1,5,0,0,1,0,1,1,5,1,3,1,3,2,1,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0
"A History of Broken Love Things",1,1,5,4,3,4,0,1,1,0,3,4,0,0,4,0,0,3,5,0,4,4,4,4,1,0,0,3,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0
"A New Language for Falling Out of Love",1,1,3,1,4,4,0,1,1,0,4,5,1,0,4,1,0,2,5,1,4,4,3,2,0,1,0,5,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0
"A Several World",0,1,2,4,5,2,0,1,1,0,2,3,0,0,4,0,1,2,4,1,4,1,5,5,0,0,0,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0
"Accepting the Disaster",1,0,3,2,2,4,0,1,1,0,2,3,0,0,4,1,1,2,3,0,2,4,2,1,0,0,1,2,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0
"Accepting the Disaster",0,0,5,2,3,3,0,0,1,1,2,3,0,0,3,1,0,3,2,0,2,2,3,2,1,0,1,2,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1
"After I Stop Lying",0,0,2,5,3,4,0,1,1,0,1,3,0,0,1,1,0,3,4,1,4,3,4,2,1,0,0,2,0,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0
"Aimless Love",0,1,3,3,2,5,0,0,1,0,3,4,0,1,2,0,0,3,3,0,3,3,3,3,1,1,1,3,1,1,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0
"All in Black Blood My Love Went Riding",1,1,3,2,2,2,0,1,1,0,3,4,0,1,3,0,0,4,5,0,4,3,3,3,0,0,0,5,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"Alphabet",1,1,4,4,5,5,1,1,0,0,2,4,0,0,3,1,0,2,2,1,4,4,4,4,1,0,0,2,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"Ancestral Worship",1,0,3,4,4,4,0,1,1,0,2,3,0,1,4,1,0,4,4,1,1,4,2,3,1,0,1,2,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0
"Angels & Beasts",1,1,1,5,5,4,0,1,1,0,1,3,1,0,1,0,0,1,5,0,3,1,4,3,1,0,0,3,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0
"Animal Magnetism",1,0,3,1,3,2,0,1,0,0,3,5,1,1,3,1,1,1,3,0,2,3,3,2,1,0,0,3,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0
"apocryphal",1,1,4,4,2,2,1,1,0,1,5,3,1,0,4,0,0,3,1,0,1,1,2,3,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"Apology of a Girl Who Is Told She Is Going to Hell",0,1,3,4,3,3,0,1,1,0,2,4,1,1,1,1,1,1,5,0,2,3,3,2,1,0,0,2,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0
"Ariel",0,0,4,1,2,2,0,1,1,0,2,3,1,0,4,1,0,3,3,0,2,2,3,2,1,0,0,3,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0
"As Long As Trees Last",0,1,3,2,2,2,1,1,1,1,2,3,0,0,3,1,0,4,4,0,5,5,2,4,1,0,0,2,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1
"At Night",1,0,3,1,2,2,1,1,1,0,1,2,0,0,2,0,0,3,4,0,4,1,2,3,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"At Night",1,0,3,2,2,2,1,1,1,0,2,2,0,0,2,0,0,2,4,0,4,1,2,2,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"Autobiography/Anti-Autobiography",1,1,3,5,1,3,0,1,1,1,3,5,1,1,5,0,0,3,5,0,5,5,5,5,1,0,0,5,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0
"Averno",0,0,2,4,4,2,0,1,1,0,2,3,0,0,2,1,1,2,2,0,2,2,4,2,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0
"Averno",0,0,3,3,3,4,0,1,1,0,1,1,0,0,2,1,1,2,4,0,3,2,2,2,1,0,0,3,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0
